# Generated by local stop-line/heading/controller matching; converter refers links are ignored.
vtd_id,autoware_group_id,signal_type,signal_subtype
1,462951,1000020,-1
1,462953,1000020,-1
2,462951,1000008,-1
2,462953,1000008,-1
3,462955,1000020,-1
4,462955,1000008,-1
5,462951,1000012,10
5,462953,1000012,10
6,462955,1000012,-1
15,463127,1000012,10
32,462965,1000020,-1
32,462967,1000020,-1
32,462969,1000020,-1
33,462965,1000008,-1
33,462967,1000008,-1
33,462969,1000008,-1
35,462965,1000012,-1
35,462967,1000012,-1
35,462969,1000012,-1
36,462957,1000020,-1
36,462959,1000020,-1
36,462961,1000020,-1
37,462957,1000008,-1
37,462959,1000008,-1
37,462961,1000008,-1
38,462963,1000020,-1
39,462963,1000008,-1
40,462957,1000012,10
40,462959,1000012,10
40,462961,1000012,10
41,462963,1000012,-1
42,463117,1000020,-1
42,463119,1000020,-1
42,463121,1000020,-1
43,463117,1000008,-1
43,463119,1000008,-1
43,463121,1000008,-1
44,463123,1000020,-1
45,463123,1000008,-1
46,463117,1000012,10
46,463119,1000012,10
46,463121,1000012,10
47,463123,1000012,-1
48,463155,1000020,-1
48,463157,1000020,-1
49,463155,1000008,-1
49,463157,1000008,-1
50,463159,1000020,-1
51,463159,1000008,-1
52,463155,1000012,10
52,463157,1000012,10
53,463159,1000012,-1
54,463107,1000020,-1
54,463109,1000020,-1
54,463111,1000020,-1
54,463113,1000020,-1
55,463107,1000008,-1
55,463109,1000008,-1
55,463111,1000008,-1
55,463113,1000008,-1
56,463115,1000020,-1
57,463115,1000008,-1
58,463107,1000012,10
58,463109,1000012,10
58,463111,1000012,10
58,463113,1000012,10
59,463115,1000012,-1
66,463093,1000020,-1
66,463095,1000020,-1
66,463097,1000020,-1
67,463093,1000008,-1
67,463095,1000008,-1
67,463097,1000008,-1
68,463099,1000020,-1
69,463099,1000008,-1
70,463093,1000012,10
70,463095,1000012,10
70,463097,1000012,10
71,463099,1000012,-1
72,463101,1000020,-1
73,463101,1000008,-1
74,463103,1000020,-1
75,463103,1000008,-1
76,463101,1000012,10
77,463103,1000012,-1
78,463083,1000020,-1
78,463085,1000020,-1
78,463087,1000020,-1
78,463089,1000020,-1
79,463083,1000008,-1
79,463085,1000008,-1
79,463087,1000008,-1
79,463089,1000008,-1
80,463091,1000020,-1
81,463091,1000008,-1
82,463083,1000012,10
82,463085,1000012,10
82,463087,1000012,10
82,463089,1000012,10
83,463091,1000012,-1
84,463041,1000020,-1
85,463041,1000008,-1
86,463043,1000020,-1
87,463043,1000008,-1
88,463041,1000012,10
89,463043,1000012,-1
90,463007,1000020,-1
90,463009,1000020,-1
90,463011,1000020,-1
90,463013,1000020,-1
91,463007,1000008,-1
91,463009,1000008,-1
91,463011,1000008,-1
91,463013,1000008,-1
92,463015,1000020,-1
93,463015,1000008,-1
94,463007,1000012,10
94,463009,1000012,10
94,463011,1000012,10
94,463013,1000012,10
95,463015,1000012,-1
96,463127,1000020,-1
97,463127,1000008,-1
98,463129,1000020,-1
99,463129,1000008,-1
100,463129,1000012,-1
101,463125,1000020,-1
102,463125,1000008,-1
105,463125,1000012,10
107,462997,1000020,-1
107,462999,1000020,-1
107,463001,1000020,-1
107,463003,1000020,-1
108,462997,1000008,-1
108,462999,1000008,-1
